home_team,away_team,goals_home_final,goals_away_final,final_result,goals_home_1half,goals_away_1half,1half_result,ball_possessionhome,ball_possessionaway,goal_attemptshome,goal_attemptsaway,shots_on_goalhome,shots_on_goalaway,shots_off_goalhome,shots_off_goalaway,blocked_shotshome,blocked_shotsaway,free_kickshome,free_kicksaway,corner_kickshome,corner_kicksaway,offsideshome,offsidesaway,goalkeeper_saveshome,goalkeeper_savesaway,foulshome,foulsaway,yellow_cardshome,yellow_cardsaway,total_passeshome,total_passesaway,tackleshome,tacklesaway,attackshome,attacksaway,dangerous_attackshome,dangerous_attacksaway,red_cardshome,red_cardsaway,completed_passeshome,completed_passesaway
Mainz,Dusseldorf,1,1,0,0,0,0,37,63,0,12,0,1,0,7,0,4,5,14,0,2,1,1,1,0,11,3,1.0,1.0,175.0,292.0,3.0,5.0,40,67,8,24,0.0,0.0,0.0,0.0
Bayern,Augsburg,2,0,1,0,0,0,77,23,2,3,0,1,1,0,1,2,5,3,6,2,0,2,1,0,3,3,0.0,0.0,404.0,122.0,10.0,7.0,84,38,39,12,0.0,0.0,0.0,0.0
Monchengladbach,Dortmund,1,2,-1,0,1,-1,46,54,5,4,2,2,2,0,1,2,6,6,0,2,3,0,1,2,3,5,0.0,2.0,281.0,322.0,11.0,6.0,55,77,26,15,0.0,0.0,0.0,0.0
Freiburg,Union Berlin,3,1,1,1,0,1,56,44,4,5,2,2,0,2,2,1,6,4,6,1,3,0,2,1,4,8,1.0,0.0,210.0,171.0,6.0,3.0,24,14,11,23,0.0,0.0,0.0,0.0
Hertha,Bremen,2,2,0,1,2,-1,53,47,10,3,3,2,2,1,5,0,6,7,1,0,2,3,0,2,5,2,0.0,0.0,232.0,205.0,9.0,7.0,50,44,32,16,0.0,0.0,0.0,0.0
Leverkusen,Frankfurt,4,0,1,2,0,1,64,36,6,2,3,2,1,0,2,0,10,5,1,1,0,2,2,1,5,8,0.0,0.0,322.0,173.0,11.0,11.0,61,47,43,24,0.0,0.0,0.0,0.0
Schalke,Hoffenheim,1,1,0,1,0,1,46,54,9,1,3,0,2,1,4,0,4,4,2,1,0,0,0,2,4,4,0.0,0.0,229.0,268.0,4.0,4.0,18,15,39,18,0.0,0.0,0.0,0.0
Wolfsburg,RB Leipzig,0,0,0,0,0,0,42,58,10,5,4,1,4,3,2,1,8,7,4,0,0,0,1,4,6,8,0.0,1.0,221.0,316.0,6.0,5.0,33,21,31,35,0.0,0.0,0.0,0.0
RB Leipzig,Leverkusen,1,1,0,1,1,0,40,60,2,10,1,5,1,2,0,3,11,4,5,3,2,2,4,0,2,8,0.0,2.0,190.0,296.0,6.0,7.0,46,59,23,21,0.0,0.0,0.0,0.0
Union Berlin,Wolfsburg,2,2,0,1,0,1,46,54,1,7,1,1,0,3,0,3,9,1,0,3,0,1,1,0,1,7,0.0,1.0,191.0,224.0,6.0,7.0,52,43,10,20,0.0,0.0,0.0,0.0
FC Koln,Schalke,3,0,1,2,0,1,43,57,8,5,5,1,1,3,2,1,2,9,3,0,5,0,1,3,3,2,1.0,0.0,207.0,272.0,6.0,4.0,51,62,29,28,0.0,0.0,0.0,0.0
Augsburg,Monchengladbach,2,3,-1,0,0,0,43,57,1,6,0,3,1,2,0,1,3,8,3,1,1,0,3,0,6,4,2.0,1.0,195.0,256.0,7.0,9.0,36,48,18,21,0.0,0.0,0.0,0.0
Dortmund,Freiburg,1,0,1,1,0,1,61,39,7,6,1,2,3,1,3,3,3,2,1,2,0,1,2,0,2,2,0.0,0.0,412.0,258.0,2.0,6.0,70,52,18,20,0.0,0.0,0.0,0.0
Hoffenheim,Bayern,0,6,-1,0,4,-1,33,67,3,16,1,8,1,5,1,3,6,3,1,4,1,4,4,1,2,3,0.0,0.0,187.0,374.0,12.0,7.0,26,66,12,44,0.0,0.0,0.0,0.0
Mainz,Paderborn,2,0,1,2,0,1,46,54,3,4,2,1,0,3,1,0,8,5,2,4,1,0,1,0,3,8,1.0,1.0,146.0,173.0,13.0,21.0,67,39,24,26,0.0,0.0,0.0,0.0
Frankfurt,Union Berlin,1,2,-1,0,0,0,55,45,7,6,0,3,3,2,4,1,8,5,8,4,1,2,3,0,4,6,1.0,2.0,202.0,161.0,8.0,6.0,58,54,38,30,0.0,0.0,0.0,0.0
Wolfsburg,Mainz,4,0,1,2,0,1,60,40,4,6,2,1,2,2,0,3,5,5,2,9,0,0,1,0,5,5,0.0,1.0,249.0,153.0,9.0,14.0,79,47,29,19,0.0,0.0,0.0,0.0
Leverkusen,Augsburg,2,0,1,1,0,1,78,22,4,3,2,0,1,3,1,0,6,6,2,2,0,2,0,1,5,3,1.0,3.0,437.0,121.0,12.0,5.0,88,35,17,10,0.0,0.0,0.0,0.0
Schalke,RB Leipzig,0,5,-1,0,1,-1,49,51,0,9,0,1,0,5,0,3,1,9,1,4,2,0,0,0,7,1,2.0,1.0,238.0,234.0,9.0,13.0,50,59,12,25,0.0,0.0,0.0,0.0
Bremen,Dortmund,0,2,-1,0,0,0,39,61,2,2,0,0,0,2,2,0,10,9,1,2,1,3,0,0,8,6,0.0,0.0,240.0,358.0,10.0,8.0,68,68,20,16,0.0,0.0,0.0,0.0
Freiburg,Dusseldorf,0,2,-1,0,1,-1,56,44,3,5,2,2,0,3,1,0,6,7,0,3,2,1,1,2,6,6,0.0,2.0,243.0,186.0,3.0,10.0,58,57,15,19,0.0,0.0,0.0,0.0
Hertha,FC Koln,0,5,-1,0,3,-1,62,38,0,13,0,9,0,2,0,2,7,8,1,3,0,1,6,0,8,6,1.0,0.0,262.0,150.0,8.0,5.0,67,42,13,23,0.0,0.0,0.0,0.0
Monchengladbach,Hoffenheim,1,1,0,1,0,1,47,53,9,9,6,2,2,2,1,5,4,5,3,3,0,0,2,5,4,3,2.0,1.0,250.0,291.0,10.0,5.0,54,63,30,26,0.0,0.0,0.0,0.0
Mainz,Schalke,0,0,0,0,0,0,42,58,8,3,3,2,4,1,1,0,6,3,1,3,0,0,2,3,2,4,1.0,0.0,180.0,242.0,9.0,7.0,54,50,23,15,0.0,0.0,0.0,0.0
FC Koln,Bayern,1,4,-1,0,3,-1,35,65,1,18,0,5,0,12,1,1,6,6,0,5,2,1,2,0,4,5,0.0,1.0,158.0,296.0,8.0,7.0,24,81,13,41,0.0,0.0,0.0,0.0
Dusseldorf,Monchengladbach,1,4,-1,1,1,0,44,56,5,9,3,1,1,5,1,3,2,8,1,4,2,1,0,2,5,1,0.0,0.0,182.0,223.0,5.0,4.0,28,39,15,18,0.0,0.0,0.0,0.0
Augsburg,Freiburg,1,1,0,1,0,1,25,75,4,9,2,1,1,7,1,1,3,10,0,2,0,1,1,1,8,2,0.0,0.0,110.0,338.0,7.0,4.0,28,66,12,33,0.0,0.0,0.0,0.0
Hoffenheim,Wolfsburg,2,3,-1,1,1,0,50,50,4,8,3,2,1,2,0,4,7,2,2,2,0,1,1,2,2,5,1.0,1.0,254.0,248.0,9.0,11.0,50,67,16,27,0.0,0.0,0.0,0.0
Paderborn,Hertha,1,2,-1,0,1,-1,48,52,6,6,1,1,2,1,3,4,7,11,2,7,2,0,0,1,9,6,0.0,0.0,209.0,222.0,5.0,8.0,55,58,32,23,0.0,0.0,0.0,0.0
RB Leipzig,Bremen,3,0,1,2,0,1,49,51,5,3,2,0,3,3,0,0,9,8,3,1,3,2,0,0,6,6,0.0,1.0,245.0,251.0,9.0,8.0,62,59,22,8,0.0,0.0,0.0,0.0
Union Berlin,Leverkusen,2,3,-1,1,1,0,38,62,14,4,4,1,7,3,3,0,9,6,3,1,0,0,0,3,5,8,1.0,2.0,156.0,258.0,10.0,7.0,63,41,26,23,0.0,0.0,0.0,0.0
Bayern,RB Leipzig,0,0,0,0,0,0,70,30,6,2,2,0,1,2,3,0,18,8,7,1,2,4,0,2,3,6,0.0,1.0,401.0,163.0,5.0,12.0,106,37,31,9,0.0,0.0,0.0,0.0
Leverkusen,Dortmund,4,3,1,2,2,0,54,46,4,6,3,4,0,2,1,0,7,5,2,2,1,1,2,1,4,5,1.0,1.0,289.0,238.0,14.0,9.0,48,76,17,16,0.0,0.0,0.0,0.0
Bremen,Union Berlin,0,2,-1,0,0,0,69,31,5,3,0,0,3,2,2,1,8,6,1,1,1,1,0,0,4,8,3.0,0.0,352.0,153.0,6.0,15.0,66,54,23,13,0.0,0.0,0.0,0.0
Freiburg,Hoffenheim,1,0,1,1,0,1,52,48,5,7,3,3,2,2,0,2,9,5,0,3,1,0,3,2,4,7,1.0,1.0,248.0,216.0,6.0,4.0,55,50,27,22,0.0,0.0,0.0,0.0
Hertha,Mainz,1,3,-1,0,1,-1,65,35,5,3,1,1,3,2,1,0,13,5,4,1,0,1,0,1,5,11,1.0,0.0,334.0,173.0,7.0,7.0,75,65,17,20,0.0,0.0,0.0,0.0
Schalke,Paderborn,1,1,0,0,0,0,64,36,2,7,1,1,0,2,1,4,6,4,3,6,2,2,1,1,2,4,0.0,0.0,267.0,137.0,8.0,12.0,47,47,31,26,0.0,0.0,0.0,0.0
Wolfsburg,Dusseldorf,1,1,0,0,1,-1,56,44,4,4,1,1,3,1,0,2,8,9,1,1,2,2,0,1,6,6,0.0,0.0,277.0,216.0,3.0,4.0,49,55,18,16,0.0,0.0,0.0,0.0
Paderborn,Wolfsburg,2,4,-1,1,2,-1,42,58,4,4,2,3,2,1,0,0,13,7,1,4,1,2,1,1,6,10,0.0,2.0,158.0,218.0,9.0,10.0,48,59,20,16,1.0,0.0,0.0,0.0
FC Koln,Freiburg,4,0,1,1,0,1,52,48,9,5,3,1,4,2,2,2,8,10,3,3,0,2,1,2,9,6,2.0,0.0,220.0,203.0,6.0,3.0,63,56,21,10,0.0,0.0,0.0,0.0
RB Leipzig,Monchengladbach,2,2,0,0,2,-1,52,48,2,7,2,4,0,1,0,2,7,9,0,2,0,2,2,2,8,6,0.0,1.0,279.0,253.0,7.0,5.0,51,67,7,17,0.0,0.0,0.0,0.0
Augsburg,Bremen,2,1,1,0,1,-1,48,52,4,4,2,1,2,1,0,2,11,6,2,2,2,1,0,2,4,8,0.0,0.0,212.0,221.0,9.0,5.0,53,28,15,15,0.0,0.0,0.0,0.0
Dortmund,Union Berlin,5,0,1,2,0,1,66,34,6,4,4,0,0,1,2,3,2,5,4,3,1,0,0,2,4,2,0.0,0.0,359.0,173.0,9.0,14.0,51,43,18,19,0.0,0.0,0.0,0.0
Dusseldorf,Frankfurt,1,1,0,0,0,0,56,44,6,3,0,1,4,2,2,0,7,4,1,3,1,2,1,0,3,5,0.0,0.0,277.0,206.0,2.0,9.0,58,49,17,17,0.0,0.0,0.0,0.0
Hoffenheim,Leverkusen,2,1,1,1,1,0,37,63,7,10,2,6,3,3,2,1,6,5,2,4,1,3,5,1,4,7,1.0,2.0,167.0,293.0,8.0,9.0,54,68,12,26,0.0,0.0,0.0,0.0
Mainz,Bayern,1,3,-1,1,3,-1,29,71,4,7,1,4,3,2,0,1,5,6,2,2,1,1,1,0,4,4,0.0,0.0,149.0,379.0,9.0,5.0,49,78,14,30,0.0,0.0,0.0,0.0
Leverkusen,Dusseldorf,3,0,1,1,0,1,74,26,8,1,3,0,3,1,2,0,9,8,4,2,1,3,0,2,8,4,0.0,1.0,347.0,116.0,1.0,13.0,63,44,22,13,0.0,0.0,0.0,0.0
Bremen,Hoffenheim,0,3,-1,0,0,0,55,45,6,3,0,1,3,2,3,0,9,7,3,2,1,0,1,0,7,9,1.0,2.0,286.0,239.0,7.0,5.0,68,60,38,15,0.0,0.0,0.0,0.0
Bayern,Schalke,5,0,1,2,0,1,78,22,11,6,6,1,4,3,1,2,2,4,1,2,2,0,1,4,3,1,0.0,0.0,421.0,117.0,8.0,10.0,92,23,56,12,0.0,0.0,0.0,0.0
Frankfurt,RB Leipzig,2,0,1,0,0,0,39,61,1,12,1,3,0,6,0,3,6,4,1,3,0,0,3,1,4,6,1.0,0.0,183.0,283.0,10.0,4.0,43,84,8,22,0.0,0.0,0.0,0.0
Freiburg,Paderborn,0,2,-1,0,0,0,53,47,6,9,2,2,2,7,2,0,4,6,1,5,0,0,2,2,6,4,1.0,2.0,232.0,197.0,10.0,5.0,59,53,21,27,0.0,0.0,0.0,0.0
Monchengladbach,Mainz,3,1,1,1,1,0,74,26,5,6,1,5,3,0,1,1,9,6,1,1,1,3,4,0,5,7,0.0,1.0,324.0,107.0,10.0,18.0,75,46,41,16,0.0,0.0,0.0,0.0
Union Berlin,Augsburg,2,0,1,0,0,0,55,45,6,8,1,2,2,4,3,2,4,13,3,1,2,1,2,1,10,4,0.0,1.0,218.0,178.0,6.0,5.0,77,49,14,13,0.0,0.0,0.0,0.0
Wolfsburg,Hertha,1,2,-1,0,0,0,54,46,10,3,3,0,5,2,2,1,5,7,3,2,1,1,0,3,5,4,0.0,1.0,259.0,217.0,12.0,16.0,72,55,37,16,0.0,0.0,0.0,0.0
Paderborn,Leverkusen,1,4,-1,0,3,-1,32,68,3,7,1,4,2,1,0,2,8,5,3,0,0,1,1,1,5,7,2.0,0.0,171.0,369.0,10.0,11.0,47,57,15,18,0.0,0.0,0.0,0.0
Hertha,Bayern,0,4,-1,0,0,0,34,66,3,6,0,4,2,1,1,1,9,4,0,3,0,2,4,0,4,7,1.0,1.0,180.0,353.0,7.0,7.0,41,93,16,43,0.0,0.0,0.0,0.0
RB Leipzig,Union Berlin,3,1,1,0,1,-1,70,30,7,4,3,2,3,1,1,1,13,5,2,0,1,2,1,3,3,9,0.0,0.0,346.0,143.0,9.0,7.0,92,56,36,9,0.0,0.0,0.0,0.0
Augsburg,Dortmund,3,5,-1,1,0,1,28,72,7,6,2,1,4,4,1,1,5,9,2,2,5,1,1,1,3,2,0.0,0.0,165.0,415.0,8.0,6.0,45,57,17,26,0.0,0.0,0.0,0.0
Dusseldorf,Bremen,0,1,-1,0,0,0,47,53,7,5,2,2,3,2,2,1,7,10,2,2,1,0,2,2,9,7,0.0,1.0,223.0,268.0,8.0,6.0,53,71,35,11,0.0,0.0,0.0,0.0
FC Koln,Wolfsburg,3,1,1,2,0,1,54,46,7,6,3,3,4,3,0,0,11,2,4,1,0,0,3,1,2,11,0.0,2.0,218.0,172.0,17.0,12.0,57,57,24,31,0.0,0.0,0.0,0.0
Hoffenheim,Frankfurt,1,2,-1,0,1,-1,61,39,7,6,2,1,3,4,2,1,2,5,3,4,1,0,0,2,4,3,0.0,0.0,316.0,192.0,6.0,14.0,71,53,14,18,0.0,0.0,0.0,0.0
Mainz,Freiburg,1,2,-1,0,2,-1,48,52,10,6,4,3,4,2,2,1,7,12,5,2,1,0,1,4,11,7,2.0,1.0,208.0,206.0,9.0,1.0,76,42,14,14,0.0,0.0,0.0,0.0
Paderborn,Frankfurt,2,1,1,2,0,1,52,48,9,9,3,1,4,6,2,2,5,5,0,4,0,0,1,1,5,5,0.0,1.0,213.0,183.0,10.0,9.0,47,66,21,28,0.0,0.0,0.0,0.0
Dusseldorf,Union Berlin,2,1,1,1,0,1,45,55,12,7,4,0,7,4,1,3,8,6,5,2,0,1,0,3,4,7,0.0,0.0,197.0,245.0,5.0,5.0,55,49,30,18,0.0,0.0,0.0,0.0
Hertha,Monchengladbach,0,0,0,0,0,0,45,55,4,2,0,1,4,0,0,1,11,6,0,4,0,4,1,0,6,7,1.0,1.0,197.0,235.0,5.0,6.0,61,63,14,18,0.0,0.0,0.0,0.0
Bayern,Wolfsburg,2,0,1,0,0,0,71,29,10,4,5,2,3,1,2,1,8,5,7,2,3,2,2,5,2,4,0.0,0.0,319.0,137.0,10.0,10.0,75,45,41,9,0.0,0.0,0.0,0.0
FC Koln,Bremen,1,0,1,1,0,1,66,34,4,0,1,0,3,0,0,0,9,5,1,2,1,0,0,0,4,9,0.0,1.0,314.0,160.0,13.0,11.0,71,43,28,19,0.0,0.0,0.0,0.0
Mainz,Leverkusen,0,1,-1,0,0,0,32,68,8,3,1,0,4,1,3,2,6,9,3,3,5,2,0,1,4,4,0.0,0.0,147.0,318.0,9.0,9.0,56,55,13,14,0.0,0.0,0.0,0.0
RB Leipzig,Augsburg,3,1,1,0,1,-1,76,24,8,4,3,1,5,1,0,2,6,9,4,2,4,0,0,3,4,5,0.0,1.0,357.0,114.0,6.0,12.0,97,30,46,11,0.0,0.0,0.0,0.0
Schalke,Freiburg,2,2,0,1,0,1,50,50,7,12,3,3,2,7,2,2,5,6,3,4,1,1,3,2,4,4,0.0,0.0,221.0,212.0,8.0,7.0,49,43,22,32,0.0,0.0,0.0,0.0
Frankfurt,FC Koln,2,4,-1,2,1,1,48,52,12,7,4,3,7,3,1,1,4,8,5,3,1,0,2,2,7,5,1.0,1.0,169.0,192.0,6.0,14.0,63,56,26,22,0.0,0.0,0.0,0.0
Freiburg,Bayern,1,3,-1,0,1,-1,30,70,7,11,2,5,4,3,1,3,5,3,3,7,2,0,4,2,1,5,0.0,0.0,133.0,306.0,5.0,5.0,36,76,15,48,0.0,0.0,0.0,0.0
Monchengladbach,Paderborn,2,0,1,0,0,0,64,36,7,7,3,1,1,3,3,3,8,8,3,3,5,2,1,3,3,6,1.0,1.0,318.0,173.0,13.0,18.0,78,36,28,21,0.0,0.0,0.0,0.0
Wolfsburg,Schalke,1,1,0,0,0,0,49,51,16,4,6,1,5,3,5,0,4,6,9,3,1,0,1,6,5,4,0.0,0.0,180.0,198.0,10.0,4.0,78,36,42,28,0.0,0.0,0.0,0.0
Leverkusen,Hertha,0,1,-1,0,0,0,68,32,12,3,5,1,4,2,3,0,7,5,3,1,2,1,1,5,3,7,0.0,1.0,362.0,169.0,6.0,11.0,98,53,40,8,0.0,0.0,0.0,0.0
Augsburg,Dusseldorf,3,0,1,1,0,1,50,50,8,1,3,0,3,1,2,0,8,7,2,0,2,1,0,2,5,7,0.0,2.0,212.0,216.0,3.0,4.0,64,38,29,9,0.0,0.0,0.0,0.0
Dortmund,RB Leipzig,3,3,0,2,0,1,56,44,8,4,5,2,2,2,1,0,3,3,8,1,2,0,2,3,1,3,0.0,0.0,343.0,265.0,9.0,16.0,61,65,24,15,0.0,0.0,0.0,0.0
Union Berlin,Hoffenheim,0,2,-1,0,0,0,45,55,7,4,0,1,4,2,3,1,6,11,5,0,2,1,1,0,9,5,1.0,3.0,178.0,223.0,6.0,4.0,71,40,23,15,0.0,0.0,0.0,0.0
Schalke,Frankfurt,1,0,1,0,0,0,63,37,7,6,3,2,3,4,1,0,6,10,3,0,2,0,2,3,8,6,0.0,1.0,264.0,162.0,3.0,10.0,55,51,24,9,0.0,0.0,0.0,0.0
Wolfsburg,Monchengladbach,2,1,1,1,1,0,42,58,9,4,5,3,3,0,1,1,9,14,2,0,1,0,2,4,13,9,2.0,1.0,185.0,258.0,11.0,7.0,42,69,11,3,0.0,0.0,0.0,0.0
Dusseldorf,RB Leipzig,0,3,-1,0,1,-1,29,71,3,9,0,2,2,5,1,2,5,6,1,4,0,0,1,0,6,4,0.0,1.0,122.0,403.0,8.0,6.0,34,74,11,24,0.0,0.0,0.0,0.0
Bayern,Bremen,6,1,1,2,1,1,69,31,13,6,5,1,4,4,4,1,9,7,3,1,0,1,0,3,5,8,2.0,1.0,350.0,125.0,8.0,10.0,100,28,29,9,0.0,0.0,0.0,0.0
FC Koln,Leverkusen,2,0,1,0,0,0,33,67,4,2,2,0,1,0,1,2,9,10,0,2,3,2,0,2,6,4,1.0,2.0,149.0,366.0,13.0,9.0,50,84,12,31,0.0,0.0,0.0,0.0
Hertha,Freiburg,1,0,1,0,0,0,45,55,8,6,3,1,3,2,2,3,2,6,0,1,0,1,1,3,5,3,1.0,0.0,225.0,285.0,5.0,3.0,42,74,14,17,0.0,0.0,0.0,0.0
Mainz,Dortmund,0,4,-1,0,1,-1,38,62,1,11,0,1,1,3,0,7,6,5,2,3,0,1,0,0,4,5,1.0,0.0,194.0,346.0,8.0,10.0,63,69,14,34,0.0,0.0,0.0,0.0
Paderborn,Union Berlin,1,1,0,1,1,0,58,42,6,9,1,2,1,5,4,2,3,2,0,2,0,1,1,0,10,8,0.0,2.0,241.0,160.0,11.0,11.0,59,53,12,26,0.0,0.0,0.0,0.0
Bremen,Paderborn,0,1,-1,0,0,0,49,51,7,8,2,3,4,2,1,3,9,5,4,3,1,2,3,2,3,7,0.0,2.0,242.0,250.0,10.0,17.0,54,49,24,18,0.0,0.0,0.0,0.0
Union Berlin,FC Koln,2,0,1,1,0,1,62,38,8,5,5,2,3,3,0,0,11,11,1,2,1,0,2,4,9,9,0.0,2.0,231.0,136.0,9.0,9.0,70,48,17,16,0.0,0.0,0.0,0.0
